line_number,start_stop,end_stop
229,Os. Podwawelskie,Kamień Szkoła
239,Os. Podwawelskie,Dąbrowa Szlachecka Krzemiennik
239,Os. Podwawelskie,Jeziorzany Pętla
239,Os. Podwawelskie,Wołowice Kapliczka
249,Os. Podwawelskie,Czernichów Rynek
249,Os. Podwawelskie,Czułówek Kapliczka
249,Os. Podwawelskie,Nowa Wieś Szlachecka Pętla
259,Os. Podwawelskie,Czernichów Rynek
269,Os. Podwawelskie,Czułów Szkoła
269,Os. Podwawelskie,Czułówek Kapliczka
269,Os. Podwawelskie,Rybna Dolna
300,Os. Podwawelskie,Kraków Airport
424,Os. Podwawelskie,Ugorek
612,Os. Podwawelskie,Tyniec Kamieniołom
990,Os. Podwawelskie,Ojców Zamek
280,Owczary Pętla,Górka Narodowa P+R
337,Owczary Pętla,Nowy Kleparz
937,Owczary Pętla,Krowodrza Górka P+R
240,Pękowice Ojcowska,Krowodrza Górka P+R
290,Pękowice Ojcowska,Krowodrza Górka P+R
164,Piaski Nowe,Bronowice Małe
164,Piaski Nowe,Mydlniki Wapiennik P+R
169,Piaski Wielkie,Prądnik Biały Wschód
433,Piaski Wielkie,Łagiewniki
260,Pielgrzymowice Pętla,Prądnik Czerwony
270,Pielgrzymowice Pętla,Prądnik Czerwony
189,Plac Centralny im. R.Reagana,Nowy Kleparz
662,Plac Centralny im. R.Reagana,Czerwone Maki P+R
62,Plac Centralny im. R.Reagana,Czerwone Maki P+R
111,Pleszów,Pleszów
131,Pleszów,Chałupki
141,Pleszów,Przylasek Rusiecki
161,Pleszów,Pleszów
171,Pleszów,Wróżenice
181,Pleszów,Kujawy
211,Pleszów,Chobot Leśniczówka
271,Pleszów,Czulice Kościół
10,Pleszów,Kurdwanów P+R
21,Pleszów,Os.Piastów
136,Pod Fortem,Łagiewniki
151,Pod Fortem,Borek Fałęcki
191,Pod Fortem,Borek Fałęcki
194,Pod Fortem,Krowodrza Górka P+R
494,Pod Fortem,Azory
608,Pod Fortem,Os. Na Stoku
116,Podgórki Tynieckie,Czerwone Maki P+R
162,Podgórki Tynieckie,Os. Podwawelskie
162,Podgórki Tynieckie,Rondo Grunwaldzkie
127,Podgórze SKA,Bagry
143,Podgórze SKA,Bieżanów
158,Podgórze SKA,Podwierzbie
274,Podgórze SKA,Trąbki P+R
214,Podstolice Centrum,Borek Fałęcki
158,Podwierzbie,Podgórze SKA
273,Polanka Hallera Centrum,Skawina SCK
260,Powstańców Wiadukt,Pielgrzymowice Pętla
144,Prądnik Biały,Rżąka
904,Prądnik Biały,Wieliczka Miasto
169,Prądnik Biały Wschód,Zajezdnia Wola Duchacka
469,Prądnik Biały Wschód,Piaski Wielkie
105,Prądnik Czerwony,Dworzec Główny Zachód
128,Prądnik Czerwony,Zajezdnia Płaszów
184,Prądnik Czerwony,Starowiślna
199,Prądnik Czerwony,Mydlniki Wapiennik P+R
250,Prądnik Czerwony,Zastów Pętla
260,Prądnik Czerwony,Pielgrzymowice Pętla
270,Prądnik Czerwony,Pielgrzymowice Pętla
270,Prądnik Czerwony,Zastów Pętla
610,Prądnik Czerwony,Borek Fałęcki
610,Prądnik Czerwony,Sidzina
200,Przeginia Kościół,Bronowice Małe
139,Przybyszewskiego,Kombinat
139,Przybyszewskiego,Struga
141,Przylasek Rusiecki,Pleszów
140,Radzikowskiego Osiedle,Nowy Kleparz
263,Radziszów PKP,Czerwone Maki P+R
262,Rawałowice Kapliczka,Czyżyny Dworzec
103,Rondo Czyżyńskie,Lesisko
413,Rondo Czyżyńskie,Na Załęczu
101,Rondo Grunwaldzkie,Kopiec Kościuszki
112,Rondo Grunwaldzkie,Tyniec Kamieniołom
162,Rondo Grunwaldzkie,Podgórki Tynieckie
209,Rondo Grunwaldzkie,Morawica Centrum
229,Rondo Grunwaldzkie,Kamień Szkoła
249,Rondo Grunwaldzkie,Czernichów Rynek
259,Rondo Grunwaldzkie,Czernichów Rynek
269,Rondo Grunwaldzkie,Czułówek Kapliczka
269,Rondo Grunwaldzkie,Rybna Dolna
173,Rondo Matecznego,Azory
20,Rondo Mogilskie,Mały Płaszów P+R
200,Rondo Ofiar Katynia,Przeginia Kościół
230,Rondo Ofiar Katynia,Ujazd Pętla
238,Rondo Ofiar Katynia,Młynka Pętla
248,Rondo Ofiar Katynia,Zelków Pętla
258,Rondo Ofiar Katynia,Nielepice Pętla
268,Rondo Ofiar Katynia,Karniowice Pętla
278,Rondo Ofiar Katynia,Krzeszowice Dworzec Autobusowy
918,Rudawa Rynek,Bronowice Małe
278,Rudawa Szkoła,Bronowice Małe
160,Ruszcza,Aleja Przyjaźni
269,Rybna Dolna,Os. Podwawelskie
215,Rzeszotary Panciawa Pętla,Borek Fałęcki
125,Rżąka,Mały Płaszów P+R
144,Rżąka,Prądnik Biały
134,Salwator,Baba Jaga (nż)
134,Salwator,ZOO
502,Salwator,Aleja Przyjaźni
156,Sidzina,Czerwone Maki P+R
175,Sidzina,Borek Fałęcki
233,Sidzina,Czerwone Maki P+R
475,Sidzina,Borek Fałęcki
610,Sidzina,Prądnik Czerwony
267,Skała Rynek,Krowodrza Górka P+R
203,Skawina,Czerwone Maki P+R
213,Skawina,Krzęcin Pętla
223,Skawina,Brzeźnica Dworzec
233,Skawina,Czerwone Maki P+R
245,Skawina,Borek Fałęcki
283,Skawina,Czerwone Maki P+R
293,Skawina,Borek Fałęcki
903,Skawina,Czerwone Maki P+R
235,Skawina Podbory (nż),Borek Fałęcki
243,Skawina SCK,Borek Fałęcki
273,Skawina SCK,Polanka Hallera Centrum
295,Skawina SCK,Grabie Pętla
106,Skotniki Szkoła,Łagiewniki
222,Słomniki Osiedle,Czyżyny Dworzec
107,Soboniowice,Zajezdnia Wola Duchacka
184,Starowiślna,Prądnik Czerwony
139,Struga,Przybyszewskiego
172,Struga,Bronowice Małe
21,Struga,Os.Piastów
22,Struga,Borek Fałęcki
44,Struga,Dworzec Towarowy
155,Swoszowice SKA,Zajezdnia Wola Duchacka
149,Szpital Okulistyczny,Lesisko
163,Szpital Rydygiera,Nowy Bieżanów Południe
215,Świątniki Górne Bielowicza Szkoła,Borek Fałęcki
225,Świątniki Górne Urząd Miasta i Gminy,Borek Fałęcki
915,Świątniki Górne Urząd Miasta i Gminy,Łagiewniki
124,TAURON Arena Kraków Wieczysta,Os. Podwawelskie
49,TAURON Arena Kraków Wieczysta,Nowy Bieżanów P+R
605,Teatr Słowackiego,Złocień
420,Tonie,Nowy Kleparz
274,Trąbki P+R,Podgórze SKA
207,Trojanowice Pętla,Krowodrza Górka P+R
112,Tyniec Kamieniołom,Os. Podwawelskie
112,Tyniec Kamieniołom,Rondo Grunwaldzkie
612,Tyniec Kamieniołom,Os. Podwawelskie
612,Tyniec Kamieniołom,Rondo Grunwaldzkie
424,Ugorek,Os. Podwawelskie
230,Ujazd Pętla,Bronowice Małe
1,Wańkowicza,Cichy Kącik
5,Wańkowicza,Krowodrza G. P+R
217,Węgrzce Pętla,Górka Narodowa P+R
234,Węgrzce Wielkie Pętla,Nowy Bieżanów Południe
110,Węgrzynowice,Aleja Przyjaźni
110,Węgrzynowice,Wańkowicza
284,Wieliczka Centrum,Nowy Bieżanów Południe
204,Wieliczka Miasto,Bieżanowska
204,Wieliczka Miasto,Czerwone Maki P+R
224,Wieliczka Miasto,Centrum JP II
224,Wieliczka Miasto,Piaski Nowe
244,Wieliczka Miasto,Nowy Bieżanów Południe
304,Wieliczka Miasto,Dworzec Główny Zachód
904,Wieliczka Miasto,Prądnik Biały
537,Witkowice,Dworzec Główny Wschód
108,Wizjonerów,Bronowice Małe
275,Włosań Centrum,Borek Fałęcki
253,Wola Radziszowska Pętla,Czerwone Maki P+R
